Harju maakond;9;287;726;621;910;494;1107;460;653;512
Hiiu maakond;0;1;9;3;7;6;8;7;1;5
Ida-Viru maakond;0;10;26;12;28;16;25;10;19;15
Jõgeva maakond;0;6;27;19;28;10;33;11;14;13
Järva maakond;0;11;20;17;15;7;37;26;28;1
Lääne maakond;1;2;9;10;10;6;17;5;14;9
Lääe-Viru maakond;1;11;25;25;35;26;46;24;26;18
Põlva maakond;0;9;15;10;32;9;30;9;11;16
Pärnu maakond;0;12;66;56;86;45;99;31;55;39
Rapla maakond;1;8;21;15;41;17;39;9;9;18
Saare maakond;1;20;29;26;29;16;29;14;26;22
Tartu maakond;19;212;444;513;427;268;617;187;334;282
Valga maakond;0;4;16;26;19;21;34;7;13;14
Viljandi maakond;0;22;48;29;48;40;67;17;35;33
Võru maakond;0;8;15;26;27;16;22;10;14;15